trialStartTime,trialNumber,repNumber,stimulusStartTime,stimulusQuadrant,stimulus,correctResponse,participantResponse,isCorrectResponse,responseTime
994.3129676,0,0,994.4404936,1,K8,c,c,1,1.881920087
996.3576024,1,0,996.4903135,2,R8,c,c,1,0.792244055
997.3048868,2,0,997.4387946,3,I3,m,m,1,2.338601515
999.8048159,3,0,999.9384419,4,E4,c,m,0,3.608686175
1003.572437,4,1,1003.717784,1,G6,c,c,1,1.047213253
1004.787839,5,1,1004.923003,2,K6,c,c,1,0.853025796
1005.805571,6,1,1005.939779,3,I3,m,m,1,2.308150487
1008.27172,7,1,1008.407031,4,R9,m,m,1,2.007875906
1010.438007,8,2,1010.571495,1,G7,c,c,1,1.027234272
1011.621623,9,2,1011.756264,2,M6,c,c,1,1.031403235
1012.822844,10,2,1012.95582,3,I8,c,c,1,2.668793195
1015.653643,11,2,1015.78903,4,U6,c,c,1,0.908461725
1016.721797,12,3,1016.856082,1,I5,m,m,1,2.36747205
1019.252002,13,3,1019.384092,2,K4,c,c,1,0.602296725
1020.021395,14,3,1020.155598,3,E3,m,m,1,1.595703635
1021.771405,15,3,1021.905783,4,U4,c,c,1,0.98846609
1022.92281,16,4,1023.055927,1,I7,m,m,1,1.480270704
1024.554139,17,4,1024.690241,2,R6,c,c,1,2.464885784
1027.189259,18,4,1027.322758,3,R4,c,m,0,1.963296336
1029.322541,19,4,1029.453085,4,E6,c,c,1,1.602890523
1031.086903,20,5,1031.221942,1,U2,m,m,1,1.715878538
1032.954153,21,5,1033.088711,2,A3,m,m,1,0.730033778
1033.838072,22,5,1033.978116,3,M4,c,c,1,0.754594348
1034.753166,23,5,1034.886997,4,I6,c,c,1,0.555743545
1035.470904,24,6,1035.604244,1,K2,c,c,1,1.536426256
1037.171381,25,6,1037.305846,2,I8,m,m,1,0.929694749
1038.256712,26,6,1038.383845,3,U9,m,m,1,2.277739182
1040.686488,27,6,1040.822122,4,E7,m,m,1,0.820329835
1041.670969,28,7,1041.805094,1,I9,m,c,0,1.333291564
1043.154569,29,7,1043.289493,2,R7,c,m,0,1.01781828
1044.339536,30,7,1044.471129,3,R6,c,c,1,2.531100959
1047.03251,31,7,1047.156042,4,A8,c,c,1,1.314215873
1048.487126,32,8,1048.620935,1,I4,m,m,1,2.585078569
1051.236844,33,8,1051.369948,2,A4,m,m,1,0.849045387
1052.254188,34,8,1052.387401,3,I9,m,m,1,2.146667551
1054.556368,35,8,1054.688362,4,G4,c,c,1,0.763538881
1055.471234,36,9,1055.604318,1,K7,c,c,1,1.542611718
1057.170449,37,9,1057.304809,2,K7,c,c,1,1.205963957
1058.539497,38,9,1058.67064,3,K6,c,c,1,1.658023923
1060.353745,39,9,1060.485644,4,U7,m,m,1,0.628003297
1061.137409,40,10,1061.271553,1,U5,m,m,1,1.74393901
1063.036959,41,10,1063.170938,2,U6,m,m,1,1.186529916
1064.386437,42,10,1064.531922,3,G9,m,m,1,2.293469444
1066.850684,43,10,1066.985417,4,A3,m,m,1,0.646932359
1067.656223,44,11,1067.785941,1,G9,c,c,1,1.581467226
1069.386397,45,11,1069.521516,2,A9,m,m,1,0.77768263
1070.320661,46,11,1070.451344,3,R3,m,m,1,1.50582481
1071.987734,47,11,1072.119906,4,G7,m,m,1,1.010244038
1073.153886,48,12,1073.288939,1,K2,c,c,1,2.27118369
1075.586169,49,12,1075.721981,2,E7,m,m,1,0.831926829
1076.588715,50,12,1076.722067,3,G7,m,m,1,3.020779583
1079.772605,51,12,1079.903657,4,U5,m,m,1,1.042075755
1080.970706,52,13,1081.104459,1,R2,c,c,1,1.410393452
1082.538004,53,13,1082.674556,2,E9,m,m,1,0.895063643
1083.598332,54,13,1083.720451,3,K9,m,m,1,2.166136636
1085.922063,55,13,1086.0553,4,I2,c,c,1,0.841275046
1086.921891,56,14,1087.053589,1,A8,m,m,1,1.678978473
1088.753532,57,14,1088.887808,2,R5,c,c,1,0.907586572
1089.823616,58,14,1089.956081,3,I8,c,c,1,1.962215635
1091.956268,59,14,1092.085749,4,I3,m,m,1,0.683557746
1092.786426,60,15,1092.920993,1,R2,c,c,1,2.284277794
1095.237329,61,15,1095.371305,2,R5,c,c,1,0.555928802
1095.952877,62,15,1096.087355,3,M9,m,m,1,1.781762533
1097.88672,63,15,1098.021189,4,E5,m,m,1,0.657899624
1098.703511,64,16,1098.836585,1,E2,m,m,1,1.237404994
1100.102938,65,16,1100.236703,2,R5,c,c,1,0.720167565
1100.986315,66,16,1101.120071,3,A8,c,c,1,2.620655799
1103.77025,67,16,1103.903939,4,K3,m,m,1,1.932812762
1105.870274,68,17,1106.003498,1,U9,m,m,1,1.33712603
1107.371629,69,17,1107.504871,2,I4,m,m,1,0.625654668
1108.154887,70,17,1108.28824,3,G3,m,m,1,1.230327478
1109.538917,71,17,1109.670873,4,K5,m,m,1,0.786648597
1110.48705,72,18,1110.619157,1,K8,c,c,1,0.876309552
1111.518968,73,18,1111.651346,2,G6,c,c,1,1.296085005
1112.969999,74,18,1113.104127,3,R8,c,c,1,1.669286774
1114.803527,75,18,1114.937016,4,G6,c,c,1,0.431224145
1115.385973,76,19,1115.521596,1,I9,m,m,1,0.892735923
1116.436576,77,19,1116.570195,2,I8,m,m,1,0.402087805
1117.005026,78,19,1117.139708,3,G2,c,c,1,0.834508579
1118.006083,79,19,1118.137381,4,R4,c,c,1,0.50780062
1118.669815,80,20,1118.80346,1,K8,c,c,1,1.044625722
1119.869937,81,20,1120.004164,2,R8,c,c,1,0.556864218
1120.606751,82,20,1120.73758,3,R8,c,c,1,2.484499567
1123.254993,83,20,1123.387936,4,G2,c,c,1,0.814994642
1124.21867,84,21,1124.353865,1,M4,c,c,1,1.795056205
1126.169696,85,21,1126.303797,2,E2,m,m,1,0.774015223
1127.103123,86,21,1127.237552,3,U2,c,m,0,1.009218414
1128.269919,87,21,1128.403752,4,M4,c,c,1,0.913990446
1129.355674,88,22,1129.487046,1,M8,c,m,0,1.213743759
1130.719084,89,22,1130.854805,2,A9,m,c,0,0.742726585
1131.619552,90,22,1131.754828,3,G7,m,m,1,2.685690506
1134.470054,91,22,1134.603481,4,G2,c,c,1,0.621996025
1135.252029,92,23,1135.387323,1,U6,m,m,1,1.003148439
1136.421197,93,23,1136.553647,2,U9,m,m,1,0.737949943
1137.318883,94,23,1137.45159,3,I5,m,m,1,1.472877546
1138.952152,95,23,1139.088158,4,G9,m,m,1,0.611244393
1139.719436,96,24,1139.852887,1,E7,m,m,1,3.020232474
1142.903671,97,24,1143.037747,2,K2,c,c,1,0.493290818
1143.5538,98,24,1143.687064,3,E2,c,c,1,1.15485209
1144.869716,99,24,1145.004375,4,M2,c,c,1,0.73362778
1145.771727,100,25,1145.903627,1,K5,c,c,1,2.684273795
1148.62337,101,25,1148.752979,2,U4,m,m,1,0.732902944
1149.519621,102,25,1149.653961,3,I5,m,m,1,1.187860134
1150.86963,103,25,1151.00347,4,R3,m,m,1,0.725313895
1151.754148,104,26,1151.884623,1,K9,c,c,1,0.806087318
1152.721089,105,26,1152.852434,2,A5,m,m,1,0.785163856
1153.669737,106,26,1153.803443,3,E8,c,c,1,1.675159076
1155.503405,107,26,1155.63752,4,E2,c,c,1,0.95327357
1156.621093,108,27,1156.754377,1,U7,m,m,1,1.174127754
1157.953931,109,27,1158.087949,2,U4,m,m,1,0.402640025
1158.521038,110,27,1158.653603,3,M8,c,c,1,0.654788579
1159.340134,111,27,1159.470226,4,I8,c,c,1,0.461093687
1159.952756,112,28,1160.087235,1,G2,c,c,1,0.906092233
1161.01802,113,28,1161.154155,2,M5,c,c,1,0.987122611
1162.170277,114,28,1162.303038,3,M9,m,m,1,1.751225334
1164.084651,115,28,1164.215753,4,R3,m,m,1,0.942422432
1165.185256,116,29,1165.319737,1,K9,c,c,1,1.484374083
1166.839126,117,29,1166.969913,2,E9,m,m,1,0.613135759
1167.602662,118,29,1167.737067,3,E5,m,m,1,1.60692298
1169.369591,119,29,1169.503676,4,K2,c,c,1,0.86124253
1170.385766,120,30,1170.519223,1,R2,c,c,1,3.191542751
1173.737494,121,30,1173.870296,2,K7,c,c,1,0.679492142
1174.569565,122,30,1174.702749,3,R4,c,c,1,1.278027692
1176.002151,123,30,1176.137263,4,K5,m,m,1,0.567444354
1176.737952,124,31,1176.869868,1,M7,c,c,1,2.601729266
1179.503055,125,31,1179.636872,2,E6,m,m,1,0.572737664
1180.234765,126,31,1180.368918,3,U8,c,c,1,2.648620326
1183.037334,127,31,1183.169048,4,K4,c,c,1,0.509364448
1183.701809,128,32,1183.835695,1,A5,m,m,1,3.349532693
1187.220599,129,32,1187.353881,2,K9,c,c,1,0.583228901
1187.969769,130,32,1188.103664,3,K2,c,c,1,0.906596985
1189.036115,131,32,1189.170469,4,E8,c,c,1,0.411610349
1189.60275,132,33,1189.736718,1,K8,c,c,1,1.683372427
1191.463497,133,33,1191.586652,2,A9,m,m,1,0.677435824
1192.287872,134,33,1192.420968,3,K6,c,c,1,0.720029124
1193.169686,135,33,1193.302691,4,U7,m,m,1,0.758286942
1194.087121,136,34,1194.218312,1,A8,m,m,1,1.545598247
1195.785593,137,34,1195.919776,2,I7,m,m,1,0.647968901
1196.585527,138,34,1196.721375,3,U7,m,m,1,0.890460585
1197.635467,139,34,1197.770636,4,M9,m,m,1,1.470126826
1199.271651,140,35,1199.403783,1,U3,m,m,1,1.197819122
1200.619508,141,35,1200.753244,2,E2,m,m,1,0.5082973
1201.286057,142,35,1201.420468,3,A7,m,m,1,1.367086174
1202.817846,143,35,1202.951409,4,R3,m,m,1,0.507132115
1203.487109,144,36,1203.619532,1,R2,c,c,1,0.875883212
1204.518651,145,36,1204.652998,2,K2,c,m,0,2.555380061
1207.236066,146,36,1207.368899,3,A4,c,c,1,1.340463598
1208.735804,147,36,1208.868787,4,K2,c,c,1,0.881482921
1209.786344,148,37,1209.920768,1,E5,m,m,1,0.797428893
1210.754057,149,37,1210.88381,2,G5,c,c,1,0.5783311
1211.48572,150,37,1211.618395,3,I6,c,c,1,1.094752563
1212.735456,151,37,1212.868999,4,K9,m,m,1,0.843115224
1213.735446,152,38,1213.868857,1,I4,m,m,1,1.572110026
1215.468794,153,38,1215.603045,2,M8,c,c,1,0.675093918
1216.301786,154,38,1216.43556,3,I3,m,m,1,1.469330313
1217.936321,155,38,1218.068763,4,U2,c,c,1,2.176171672
1220.268245,156,39,1220.402299,1,K7,c,c,1,1.383495599
1221.820044,157,39,1221.950363,2,R2,c,c,1,0.674278525
1222.650461,158,39,1222.784628,3,A7,m,m,1,1.184084465
1223.985286,159,39,1224.117703,4,K6,c,c,1,2.662820242
1226.801949,160,40,1226.936087,1,U5,m,m,1,1.070309558
1228.033778,161,40,1228.167203,2,E4,m,m,1,0.582473812
1228.785365,162,40,1228.918448,3,G3,m,m,1,0.927839822
1229.868383,163,40,1230.001461,4,R5,m,m,1,1.393997716
1231.41598,164,41,1231.548286,1,G8,c,c,1,1.50888328
1233.084668,165,41,1233.214963,2,A2,m,m,1,0.646205736
1233.883731,166,41,1234.013197,3,R6,c,c,1,1.087993744
1235.117906,167,41,1235.25345,4,M7,m,m,1,0.758599671
1236.034538,168,42,1236.15323,1,R4,c,c,1,1.318849712
1237.500392,169,42,1237.634202,2,M9,c,c,1,3.745767096
1241.401349,170,42,1241.535197,3,R9,m,m,1,1.150650794
1242.718617,171,42,1242.851634,4,R3,m,m,1,1.1201011
1244.003008,172,43,1244.136328,1,I5,m,m,1,0.816380071
1244.987336,173,43,1245.119927,2,M6,c,c,1,0.575716386
1245.718001,174,43,1245.84882,3,U2,c,c,1,0.931867128
1246.801326,175,43,1246.935397,4,A2,c,c,1,0.59631988
1247.553929,176,44,1247.682388,1,U5,m,m,1,0.872374429
1248.584035,177,44,1248.719744,2,R5,c,c,1,2.097760372
1250.85301,178,44,1250.984577,3,U3,m,m,1,2.640786917
1253.652849,179,44,1253.784784,4,M6,c,c,1,0.917605709
1254.717921,180,45,1254.850698,1,I7,m,m,1,0.996602661
1255.868061,181,45,1256.002503,2,I6,m,m,1,0.401031695
1256.438046,182,45,1256.568142,3,U8,c,c,1,0.789220585
1257.384081,183,45,1257.519548,4,E5,m,m,1,0.727599186
1258.267992,184,46,1258.401657,1,E2,m,m,1,0.92644593
1259.353071,185,46,1259.486266,2,I8,m,m,1,0.433861805
1259.952848,186,46,1260.087051,3,A5,m,m,1,1.444022415
1261.549986,187,46,1261.684744,4,R8,c,c,1,2.759152005
1264.467419,188,47,1264.600886,1,M4,c,m,0,1.331984855
1265.952301,189,47,1266.085552,2,U2,m,m,1,0.967225597
1267.086836,190,47,1267.219472,3,I2,c,c,1,3.503275109
1270.76239,191,47,1270.888325,4,U4,c,c,1,0.533331833
1271.448973,192,48,1271.582032,1,R7,c,c,1,0.825557453
1272.43616,193,48,1272.569516,2,E9,m,m,1,1.615024028
1274.2146,194,48,1274.352646,3,A7,m,m,1,1.356860544
1275.736805,195,48,1275.868516,4,G2,c,c,1,1.46094333
1277.350966,196,49,1277.485872,1,I7,m,m,1,0.886481075
1278.401749,197,49,1278.534973,2,G2,c,c,1,1.059261631
1279.619147,198,49,1279.752503,3,K4,c,c,1,2.715741958
1282.495836,199,49,1282.618482,4,M7,m,m,1,0.547543924
