timestamp,bvp
1629376823000,-0.0
1629376823015,-0.0
1629376823031,-0.0
1629376823046,-0.0
1629376823062,-0.0
1629376823078,-0.0
1629376823093,-0.0
1629376823109,-0.0
1629376823125,-0.0
1629376823140,-0.0
1629376823156,0.0
1629376823171,0.01
1629376823187,0.01
1629376823203,-0.0
1629376823218,-0.03
1629376823234,-0.05
1629376823250,-0.05
1629376823265,0.0
1629376823281,0.13
1629376823296,0.36
1629376823312,0.66
1629376823328,1.01
1629376823343,1.37
1629376823359,1.72
1629376823375,2.06
1629376823390,2.4
1629376823406,2.79
1629376823421,3.24
1629376823437,3.8
1629376823453,4.42
1629376823468,5.06
1629376823484,5.66
1629376823500,6.2
1629376823515,6.68
1629376823531,7.15
1629376823546,7.68
1629376823562,8.31
1629376823578,9.14
1629376823593,10.09
1629376823609,11.04
1629376823625,11.88
1629376823640,12.56
1629376823656,13.14
1629376823671,13.76
1629376823687,14.65
1629376823703,15.96
1629376823718,17.91
1629376823734,20.32
1629376823750,22.9
1629376823765,25.38
1629376823781,27.58
1629376823796,29.57
1629376823812,31.68
1629376823828,34.32
1629376823843,37.81
1629376823859,42.54
1629376823875,48.15
1629376823890,54.1
1629376823906,59.83
1629376823921,64.97
1629376823937,69.58
1629376823953,74.14
1629376823968,79.34
1629376823984,85.71
1629376824000,93.76
1629376824015,103.0
1629376824031,112.62
1629376824046,121.73
1629376824062,129.77
1629376824078,136.75
1629376824093,143.3
1629376824109,150.75
1629376824125,157.77
1629376824140,166.64
1629376824156,177.95
1629376824171,191.79
1629376824187,206.97
1629376824203,220.57
1629376824218,228.25
1629376824234,225.36
1629376824250,208.53
1629376824265,176.87
1629376824281,132.76
1629376824296,80.05
1629376824312,23.07
1629376824328,-34.94
1629376824343,-92.44
1629376824359,-149.16
1629376824375,-205.23
1629376824390,-260.37
1629376824406,-313.74
1629376824421,-363.87
1629376824437,-409.83
1629376824453,-450.91
1629376824468,-486.51
1629376824484,-515.74
1629376824500,-537.22
1629376824515,-549.2
1629376824531,-549.92
1629376824546,-538.33
1629376824562,-514.19
1629376824578,-478.72
1629376824593,-434.03
1629376824609,-382.72
1629376824625,-327.4
1629376824640,-270.29
1629376824656,-213.11
1629376824671,-157.12
1629376824687,-103.4
1629376824703,-52.82
1629376824718,-6.4
1629376824734,34.99
1629376824750,70.72
1629376824765,100.54
1629376824781,124.65
1629376824796,143.53
1629376824812,157.89
1629376824828,168.37
1629376824843,175.54
1629376824859,179.76
1629376824875,181.33
1629376824890,180.53
1629376824906,177.73
1629376824921,173.35
1629376824937,167.81
1629376824953,161.45
1629376824968,154.47
1629376824984,146.98
1629376825000,139.03
1629376825015,130.72
1629376825031,122.25
1629376825046,113.89
1629376825062,105.89
1629376825078,98.36
1629376825093,91.24
1629376825109,84.27
1629376825125,77.17
1629376825140,69.74
1629376825156,62.08
1629376825171,54.48
