timestamp,hr
1629376833000,65.0
1629376834000,57.5
1629376835000,55.0
1629376836000,59.25
1629376837000,57.4
1629376838000,56.33
1629376839000,55.71
1629376840000,55.0
1629376841000,57.0
1629376842000,58.5
1629376843000,59.64
1629376844000,60.58
1629376845000,61.15
1629376846000,61.64
1629376847000,61.93
1629376848000,62.88
1629376849000,63.76
1629376850000,64.39
1629376851000,65.42
1629376852000,66.45
1629376853000,67.43
1629376854000,68.18
1629376855000,69.09
1629376856000,70.04
1629376857000,71.0
1629376858000,71.92
1629376859000,72.85
1629376860000,73.68
1629376861000,74.41
1629376862000,75.13
1629376863000,75.84
1629376864000,76.56
1629376865000,77.24
1629376866000,77.88
1629376867000,78.54
1629376868000,79.28
1629376869000,79.92
1629376870000,80.55
1629376871000,81.13
1629376872000,81.65
1629376873000,82.12
1629376874000,82.57
1629376875000,82.93
1629376876000,83.27
1629376877000,83.62
1629376878000,83.98
1629376879000,84.36
1629376880000,84.69
1629376881000,84.94
1629376882000,85.18
1629376883000,85.41
1629376884000,85.65
1629376885000,85.87
1629376886000,86.04
1629376887000,86.15
1629376888000,86.25
1629376889000,86.39
1629376890000,86.52
1629376891000,86.64
1629376892000,86.75
1629376893000,87.22
1629376894000,88.08
1629376895000,88.93
1629376896000,89.4
1629376897000,90.27
1629376898000,91.15
1629376899000,91.9
1629376900000,92.68
1629376901000,93.05
1629376902000,93.52
1629376903000,94.07
1629376904000,94.6
1629376905000,95.18
1629376906000,95.78
1629376907000,96.42
1629376908000,96.88
1629376909000,97.33
1629376910000,97.83
1629376911000,98.17
1629376912000,98.45
1629376913000,98.73
1629376914000,99.07
1629376915000,99.3
1629376916000,99.48
1629376917000,99.65
1629376918000,99.82
1629376919000,99.95
1629376920000,100.1
1629376921000,100.27
1629376922000,99.55
1629376923000,98.82
1629376924000,98.03
1629376925000,97.25
1629376926000,96.47
1629376927000,95.65
1629376928000,94.77
1629376929000,93.92
1629376930000,93.05
1629376931000,92.2
1629376932000,91.37
1629376933000,90.55
1629376934000,89.73
1629376935000,88.97
1629376936000,88.22
1629376937000,87.43
1629376938000,86.63
1629376939000,85.8
1629376940000,85.0
1629376941000,84.25
1629376942000,83.5
1629376943000,82.73
1629376944000,81.95
1629376945000,81.18
1629376946000,80.45
1629376947000,79.77
1629376948000,79.1
1629376949000,78.4
1629376950000,77.7
1629376951000,77.02
1629376952000,76.35
1629376953000,75.67
1629376954000,74.83
1629376955000,74.02
1629376956000,73.22
1629376957000,72.37
1629376958000,71.77
1629376959000,71.25
1629376960000,70.73
1629376961000,70.0
1629376962000,69.2
1629376963000,68.33
1629376964000,67.48
1629376965000,66.62
1629376966000,65.75
1629376967000,64.87
1629376968000,63.97
1629376969000,63.08
1629376970000,62.18
1629376971000,61.3
1629376972000,60.45
1629376973000,59.58
1629376974000,58.7
1629376975000,57.85
1629376976000,57.0
1629376977000,56.12
1629376978000,55.22
1629376979000,54.33
1629376980000,53.45
1629376981000,52.55
1629376982000,52.53
1629376983000,52.52
1629376984000,52.52
1629376985000,52.52
1629376986000,52.52
1629376987000,52.52
1629376988000,52.5
1629376989000,52.5
1629376990000,52.5
1629376991000,52.5
1629376992000,52.5
1629376993000,52.5
1629376994000,52.5
1629376995000,52.5
1629376996000,52.5
1629376997000,52.52
1629376998000,52.52
1629376999000,52.52
1629377000000,52.52
1629377001000,52.52
1629377002000,52.52
