trialStartTime,trialEndTime,stimulus,correctResponse,participantResponse,isCorrectResponse,responseTime,thisBlockTrialNumber,measurementBlock
321.7738194,322.2831677,K,None,None,1,,0,0
324.2901693,324.7928729,R,None,None,1,,1,0
326.7791084,327.292064,B,None,None,1,,2,0
329.2791045,329.7928196,H,None,None,1,,3,0
331.7787718,332.292235,B,m,m,1,0.605211277,4,0
334.2796225,334.7927866,X,None,None,1,,5,0
336.7789025,337.2926256,F,None,None,1,,6,0
339.2899908,339.7926493,Q,None,None,1,,7,0
341.7810691,342.2926669,M,None,None,1,,8,0
344.2775402,344.7801999,Q,m,m,1,0.585251301,9,0
346.7787302,347.2920315,H,None,None,1,,10,0
349.2794617,349.7924011,R,None,None,1,,11,0
351.7789796,352.2923395,Q,None,None,1,,12,0
354.2815149,354.7923191,F,None,None,1,,13,0
356.7788319,357.291553,B,None,None,1,,14,0
359.2793981,359.7922326,F,m,m,1,0.711409183,15,0
361.7792246,362.292418,K,None,None,1,,16,0
364.2784685,364.7921773,X,None,None,1,,17,0
366.7783977,367.2921315,K,m,m,1,0.510406656,18,0
369.289631,369.7915459,M,None,None,1,,19,0
697.8099462,698.3210856,B,None,None,1,,0,1
700.2912963,700.7877806,M,None,None,1,,1,1
702.7897643,703.2872227,F,None,None,1,,2,1
705.2897652,705.7876615,R,None,None,1,,3,1
707.7905568,708.2877552,H,None,None,1,,4,1
710.290902,710.7874806,R,m,m,1,0.493398112,5,1
712.7915759,713.2875771,K,None,None,1,,6,1
715.2899177,715.7874972,Q,None,None,1,,7,1
717.7906421,718.2875814,X,None,None,1,,8,1
720.2900834,720.7874091,M,None,None,1,,9,1
722.7903231,723.2875662,Q,None,None,1,,10,1
725.2912587,725.787388,M,m,m,1,0.946745265,11,1
727.8064344,728.3205326,K,None,None,1,,12,1
730.2896688,730.7872978,R,None,None,1,,13,1
732.7901529,733.2873492,X,None,None,1,,14,1
735.2896417,735.7872371,B,None,None,1,,15,1
737.7893437,738.2862138,X,m,m,1,0.326251244,16,1
740.2892824,740.7871913,H,None,None,1,,17,1
742.7900651,743.2871115,F,None,None,1,,18,1
745.2900531,745.7870377,H,m,m,1,0.639811443,19,1
1179.1749,1179.685,X,None,None,1,,0,2
1181.6854,1182.1979,M,None,None,1,,1,2
1184.1846,1184.6978,Q,None,None,1,,2,2
1186.6841,1187.1974,R,None,None,1,,3,2
1189.1839,1189.6978,B,None,None,1,,4,2
1191.6851,1192.1977,H,None,None,1,,5,2
1194.1845,1194.6974,B,m,m,1,0.5342,6,2
1196.6846,1197.1978,F,None,None,1,,7,2
1199.1847,1199.6977,K,None,None,1,,8,2
1201.6849,1202.1978,Q,None,None,1,,9,2
1204.1838,1204.6975,K,m,m,1,0.3698,10,2
1206.6841,1207.1976,B,None,None,1,,11,2
1209.1838,1209.6976,R,None,None,1,,12,2
1211.684,1212.1975,X,None,None,1,,13,2
1214.184,1214.6971,R,m,m,1,0.5024,14,2
1216.6837,1217.1975,H,None,None,1,,15,2
1219.1837,1219.6969,F,None,None,1,,16,2
1221.6839,1222.1973,H,m,m,1,0.623398701,17,2
1224.1837,1224.6969,M,None,None,1,,18,2
1226.684,1227.1972,K,None,None,1,,19,2
