timestamp,breathing_waveform
1630059083619,7309586
1630059083659,7333419
1630059083699,7353548
1630059083739,7362049
1630059083779,7364135
1630059083819,7369089
1630059083859,7373209
1630059083899,7379675
1630059083939,7394121
1630059083979,7429582
1630059084019,7480793
1630059084059,7537166
1630059084099,7594478
1630059084139,7634216
1630059084179,7657475
1630059084219,7680577
1630059084259,7726729
1630059084299,7761252
1630059084339,7783467
1630059084379,7789151
1630059084419,7785449
1630059084459,7788057
1630059084499,7786283
1630059084539,7789256
1630059084579,7777157
1630059084619,7764224
1630059084659,7749935
1630059084699,7740966
1630059084739,7734603
1630059084779,7729441
1630059084819,7722661
1630059084859,7715569
1630059084899,7717499
1630059084939,7723600
1630059084979,7726468
1630059085019,7727042
1630059085059,7720315
1630059085099,7709885
1630059085139,7720679
1630059085179,7735594
1630059085219,7757810
1630059085259,7786127
1630059085299,7807664
1630059085339,7832644
1630059085379,7856789
1630059085419,7869827
1630059085459,7868784
1630059085499,7859605
1630059085539,7838381
1630059085579,7800312
1630059085619,7754942
1630059085659,7715777
1630059085699,7679169
1630059085739,7651112
1630059085779,7632964
1630059085819,7619353
1630059085859,7603604
1630059085899,7591193
1630059085939,7580241
1630059085979,7570072
1630059086019,7565066
1630059086059,7558704
1630059086099,7553124
1630059086139,7552081
1630059086179,7550099
1630059086219,7552133
1630059086259,7553645
1630059086299,7557713
1630059086339,7561415
1630059086379,7569342
1630059086419,7576695
1630059086459,7587073
1630059086499,7598389
1630059086539,7606994
1630059086579,7618675
1630059086619,7632338
1630059086659,7645011
1630059086699,7653094
1630059086739,7656014
1630059086779,7656067
1630059086819,7655388
1630059086859,7656119
1630059086899,7658257
1630059086939,7661594
1630059086979,7663315
1630059087019,7664723
1630059087059,7665975
1630059087099,7665401
1630059087139,7664254
1630059087179,7663576
1630059087219,7663263
1630059087259,7662481
1630059087299,7660812
1630059087339,7660916
1630059087379,7662481
1630059087419,7663315
1630059087459,7664567
1630059087499,7665714
1630059087539,7666079
1630059087579,7665506
1630059087619,7664463
1630059087659,7664671
1630059087699,7664202
1630059087739,7663837
1630059087779,7663524
1630059087819,7663576
1630059087859,7663420
1630059087899,7662481
1630059087939,7662272
1630059087979,7660812
1630059088019,7659926
1630059088059,7659821
1630059088099,7659300
1630059088139,7659143
1630059088179,7657996
1630059088219,7656953
1630059088259,7655076
1630059088299,7653876
1630059088339,7651060
1630059088379,7649600
1630059088419,7648088
1630059088459,7647462
1630059088499,7646836
1630059088539,7646002
1630059088579,7645376
1630059088619,7643811
1630059088659,7642821
1630059088699,7640839
1630059088739,7640057
1630059088779,7638440
1630059088819,7636250
1630059088859,7634685
1630059088899,7632599
1630059088939,7631452
1630059088979,7630253
1630059089019,7629470
1630059089059,7629157
1630059089099,7627593
1630059089139,7626863
1630059089179,7625298
1630059089219,7624777
1630059089259,7624099
1630059089299,7624516
1630059089339,7624255
1630059089379,7625663
1630059089419,7625872
1630059089459,7626498
1630059089499,7627489
1630059089539,7628740
1630059089579,7630357
1630059089619,7632287
1630059089659,7634842
1630059089699,7637606
1630059089739,7639014
1630059089779,7638962
1630059089819,7641465
1630059089859,7641778
1630059089899,7643133
1630059089939,7644385
1630059089979,7645584
1630059090019,7647305
1630059090059,7647514
1630059090099,7647723
1630059090139,7648505
1630059090179,7649392
1630059090219,7650852
1630059090259,7651425
1630059090299,7653355
1630059090339,7654815
1630059090379,7655754
1630059090419,7656119
1630059090459,7657840
1630059090499,7659091
1630059090539,7660030
1630059090579,7660447
1630059090619,7662794
1630059090659,7663576
1630059090699,7664828
1630059090739,7665610
1630059090779,7666549
1630059090819,7667487
1630059090859,7668791
1630059090899,7669104
1630059090939,7668791
1630059090979,7668269
1630059091019,7666705
1630059091059,7665975
1630059091099,7665610
1630059091139,7664932
