,timestamp,TP9,AF7,AF8,TP10
1299,1629708999025,1.0,1.0,1.0,1.0
1300,1629708999181,1.0,1.0,1.0,1.0
1301,1629708999259,1.0,1.0,1.0,1.0
1302,1629708999368,1.0,1.0,1.0,1.0
1303,1629708999462,1.0,1.0,1.0,1.0
1304,1629708999603,1.0,1.0,1.0,1.0
1305,1629708999665,1.0,1.0,1.0,1.0
1306,1629708999775,1.0,1.0,1.0,1.0
1307,1629708999900,1.0,1.0,1.0,1.0
1308,1629708999962,1.0,1.0,1.0,1.0
1309,1629709000043,1.0,1.0,1.0,1.0
1310,1629709000137,1.0,1.0,1.0,1.0
1311,1629709000215,1.0,1.0,1.0,1.0
1312,1629709000387,1.0,1.0,1.0,1.0
1313,1629709000434,1.0,1.0,1.0,1.0
1314,1629709000574,1.0,1.0,1.0,1.0
1315,1629709000668,1.0,1.0,1.0,1.0
1316,1629709000762,1.0,1.0,1.0,1.0
1317,1629709000871,1.0,1.0,1.0,1.0
1319,1629709001030,1.0,1.0,1.0,1.0
1318,1629709001077,1.0,1.0,1.0,1.0
1320,1629709001139,1.0,1.0,1.0,1.0
1321,1629709001264,1.0,1.0,1.0,1.0
1322,1629709001389,1.0,1.0,1.0,1.0
1323,1629709001483,1.0,1.0,1.0,1.0
1324,1629709001592,1.0,1.0,1.0,1.0
1325,1629709001717,1.0,1.0,1.0,1.0
1326,1629709001827,1.0,1.0,1.0,1.0
1327,1629709001873,1.0,1.0,1.0,1.0
1328,1629709002014,1.0,1.0,1.0,1.0
1329,1629709002056,1.0,1.0,1.0,1.0
1330,1629709002237,1.0,1.0,1.0,1.0
1331,1629709002346,2.0,1.0,1.0,2.0
1332,1629709002378,2.0,1.0,1.0,2.0
1333,1629709002471,2.0,1.0,1.0,2.0
1334,1629709002612,2.0,1.0,1.0,2.0
1335,1629709002706,2.0,1.0,1.0,2.0
1336,1629709002832,2.0,1.0,1.0,2.0
1337,1629709002942,2.0,1.0,1.0,2.0
1338,1629709003020,2.0,1.0,1.0,2.0
1339,1629709003083,2.0,1.0,1.0,2.0
1340,1629709003208,2.0,1.0,1.0,2.0
1341,1629709003270,2.0,1.0,1.0,2.0
1342,1629709003442,2.0,1.0,1.0,2.0
1343,1629709003489,2.0,1.0,1.0,2.0
1344,1629709003645,2.0,1.0,1.0,2.0
