timestamp,hr,br,posture,hr_confidence,hrv,is_hr_unreliable,is_br_unreliable,is_hrv_unreliable
1630497978424,104,21.0,-175,100,55,0,0,0
1630497979424,101,21.0,-175,100,55,0,0,0
1630497980424,96,21.0,-175,100,55,0,0,0
1630497981424,94,21.0,-175,100,54,0,0,0
1630497982424,95,21.0,-175,100,54,0,0,0
1630497983424,97,21.0,-175,100,54,0,0,0
1630497984424,99,21.0,-175,100,54,0,0,0
1630497985424,100,21.0,-175,100,54,0,0,0
1630497986424,100,21.0,-175,100,54,0,0,0
1630497987424,100,21.0,-175,100,54,0,0,0
1630497988424,96,21.0,-175,100,54,0,0,0
1630497989424,95,21.0,-175,100,54,0,0,0
1630497990424,96,21.0,-175,100,54,0,0,0
1630497991424,98,21.0,-175,100,54,0,0,0
1630497992424,100,21.0,-175,100,53,0,0,0
1630497993424,101,21.0,-175,100,53,0,0,0
1630497994424,100,21.0,-175,100,53,0,0,0
1630497995424,100,21.0,-175,100,53,0,0,0
1630497996424,95,21.0,-175,100,53,0,0,0
1630497997424,92,22.0,-175,100,53,0,0,0
1630497998424,94,22.0,-175,100,53,0,0,0
1630497999424,97,22.0,-175,100,53,0,0,0
1630498000424,100,22.0,-175,100,52,0,0,0
1630498001424,102,22.0,-175,100,52,0,0,0
1630498002424,101,22.0,-175,100,51,0,0,0
1630498003424,100,22.0,-175,100,51,0,0,0
1630498004424,98,22.0,-175,100,51,0,0,0
1630498005424,96,22.0,-175,100,51,0,0,0
1630498006424,95,22.0,-175,100,51,0,0,0
1630498007424,96,22.0,-175,100,51,0,0,0
1630498008424,98,22.0,-175,100,50,0,0,0
1630498009424,100,22.0,-175,100,50,0,0,0
1630498010424,102,22.0,-175,100,50,0,0,0
1630498011424,102,22.0,-175,100,49,0,0,0
1630498012424,100,22.0,-175,100,48,0,0,0
1630498013424,99,22.0,-175,100,47,0,0,0
1630498014424,98,22.0,-175,100,46,0,0,0
1630498015424,99,22.0,-175,100,46,0,0,0
1630498016424,100,22.0,-175,100,45,0,0,0
1630498017424,100,22.0,-175,100,44,0,0,0
1630498018424,101,22.0,-175,100,44,0,0,0
1630498019424,101,22.0,-175,100,44,0,0,0
1630498020424,101,22.0,-175,100,43,0,0,0
1630498021424,101,22.0,-175,100,43,0,0,0
1630498022424,99,22.0,-175,100,43,0,0,0
1630498023424,99,22.0,-175,100,42,0,0,0
1630498024424,101,22.0,-175,100,42,0,0,0
1630498025424,104,22.0,-175,100,41,0,0,0
1630498026424,108,22.0,-175,100,40,0,0,0
1630498027424,109,23.0,-175,100,40,0,0,0
1630498028424,109,23.0,-175,100,39,0,0,0
1630498029424,106,23.0,-175,100,39,0,0,0
1630498030424,105,23.0,-175,100,38,0,0,0
1630498031424,103,23.0,-175,100,38,0,0,0
1630498032424,102,23.0,-175,100,38,0,0,0
1630498033424,103,22.0,-175,100,37,0,0,0
1630498034424,104,22.0,-175,100,36,0,0,0
