timestamp,green,ir,red
1630937420095,65806,372833,358793
1630937420105,65787,372850,358779
1630937420115,65772,372834,358771
1630937420125,65756,372789,358766
1630937420135,65745,372754,358748
1630937420145,65730,372722,358705
1630937420155,65733,372750,358679
1630937420165,65708,372741,358693
1630937420175,65701,372686,358684
1630937420185,65690,372725,358668
1630937420195,65682,372635,358644
1630937420205,65666,372620,358623
1630937420215,65651,372602,358596
1630937420225,65644,372623,358623
1630937420235,65653,372547,358616
1630937420245,65625,372530,358594
1630937420255,65627,372560,358586
1630937420265,65628,372579,358581
1630937420275,65612,372554,358585
1630937420285,65619,372526,358573
1630937420295,65601,372491,358553
1630937420305,65592,372458,358530
1630937420315,65581,372461,358501
1630937420325,65557,372472,358480
1630937420335,65537,372427,358444
1630937420345,65537,372404,358410
1630937420355,65513,372430,358393
1630937420365,65501,372332,358394
1630937420375,65488,372330,358379
1630937420385,65490,372377,358347
1630937420395,65486,372380,358334
1630937420405,65464,372389,358343
1630937420415,65474,372333,358314
1630937420425,65463,372333,358300
1630937420435,65443,372420,358332
1630937420445,65459,372357,358290
1630937420455,65463,372355,358313
1630937420465,65467,372363,358328
1630937420475,65451,372390,358248
1630937420485,65441,372365,358306
1630937420495,65446,372358,358260
1630937420505,65447,372341,358275
1630937420515,65453,372334,358294
1630937420525,65467,372381,358311
1630937420535,65482,372405,358311
1630937420545,65490,372424,358315
1630937420555,65511,372429,358339
1630937420565,65527,372471,358415
1630937420575,65542,372449,358386
1630937420585,65541,372490,358422
1630937420595,65541,372461,358385
1630937420605,65549,372470,358380
1630937420615,65565,372472,358443
1630937420625,65570,372534,358434
1630937420635,65570,372556,358451
1630937420645,65594,372568,358474
1630937420655,65614,372627,358509
1630937420665,65641,372684,358517
1630937420675,65666,372775,358578
1630937420685,65684,372738,358580
1630937420695,65695,372780,358621
1630937420705,65726,372807,358609
1630937420715,65728,372806,358667
1630937420725,65746,372850,358659
1630937420735,65756,372902,358656
1630937420745,65779,372873,358673
1630937420755,65769,372886,358678
1630937420765,65786,372917,358694
1630937420775,65790,372987,358707
1630937420785,65794,372921,358699
1630937420795,65786,372918,358731
1630937420805,65807,372921,358690
1630937420815,65819,372974,358721
1630937420825,65827,373037,358774
1630937420835,65865,373039,358763
1630937420845,65882,373048,358793
1630937420855,65896,373074,358860
1630937420865,65918,373128,358836
1630937420875,65919,373118,358883
1630937420885,65937,373128,358916
1630937420895,65956,373086,358910
1630937420905,65938,373077,358928
1630937420915,65929,373078,358933
1630937420925,65919,373118,358937
