timestamp,green,ir,red
1631024004188,52832,57814,57860
1631024004198,52404,90594,90637
1631024004208,52400,123367,123411
1631024004218,52389,156140,156186
1631024004228,52384,188906,188807
1631024004238,52371,221551,221587
1631024004248,52375,254287,254160
1631024004258,52367,286891,271376
1631024004268,52358,315802,271309
1631024004278,52357,315808,271309
1631024004288,52348,315775,271303
1631024004298,52346,315782,271326
1631024004308,52356,315800,271273
1631024004318,52349,315800,271313
1631024004328,52345,315791,271304
1631024004338,52355,315792,271306
1631024004348,52337,315760,271278
1631024004358,52347,315787,271271
1631024004368,52350,315776,271289
1631024004378,52349,315744,271253
1631024004388,52356,315771,271280
1631024004398,52358,315710,271262
1631024004408,52330,315725,271218
1631024004418,52314,315683,271120
1631024004428,52295,315632,271000
1631024004438,52271,315623,270925
1631024004448,52248,315633,270840
1631024004458,52225,315557,270725
1631024004468,52199,315531,270661
1631024004478,52200,315520,270622
1631024004488,52185,315527,270620
1631024004498,52211,315569,270655
1631024004508,52214,315650,270667
1631024004518,52232,315633,270688
1631024004528,52243,315699,270724
1631024004538,52250,315709,270775
1631024004548,52247,315710,270797
1631024004558,52291,315763,270836
1631024004568,52289,315755,270876
1631024004578,52312,315753,270842
1631024004588,52319,315754,270867
1631024004598,52300,315675,270833
1631024004608,52295,315648,270864
1631024004618,52288,315550,270769
1631024004628,52247,315517,270780
1631024004638,52243,315430,270739
1631024004648,52225,315349,270739
1631024004658,52183,315296,270738
1631024004668,52171,315258,270721
1631024004678,52140,315219,270718
1631024004688,52129,315207,270699
1631024004698,52119,315202,270691
1631024004708,52088,315164,270687
1631024004718,52092,315173,270668
1631024004728,52070,315138,270648
1631024004738,52052,315093,270644
1631024004748,52036,315094,270617
1631024004758,52017,315051,270630
1631024004768,52023,315083,270628
1631024004778,52006,315027,270642
1631024004788,52003,315062,270639
1631024004798,51990,315056,270659
1631024004808,51996,315089,270646
1631024004818,51981,315040,270672
1631024004828,51976,315077,270692
1631024004838,51965,315035,270655
1631024004848,51977,315048,270674
1631024004858,51971,315118,270686
1631024004868,51974,315040,270669
1631024004878,51971,315084,270669
1631024004888,51970,315058,270681
1631024004898,51955,315069,270683
1631024004908,51956,315085,270713
1631024004918,51944,315111,270698
1631024004928,51939,315098,270723
1631024004938,51947,315132,270697
1631024004948,51937,315097,270742
1631024004958,51942,315131,270722
1631024004968,51943,315104,270740
1631024004978,51947,315120,270743
1631024004988,51951,315175,270760
1631024004998,51952,315159,270762
1631024005008,51953,315178,270759
1631024005018,51953,315200,270717
1631024005028,51943,315177,270703
1631024005038,51943,315145,270696
1631024005048,51918,315110,270562
1631024005058,51908,315099,270491
1631024005068,51885,315034,270403
1631024005078,51869,315046,270352
1631024005088,51861,315044,270334
1631024005098,51861,315073,270351
1631024005108,51872,315114,270365
1631024005118,51882,315122,270363
1631024005128,51897,315197,270390
1631024005138,51904,315217,270448
1631024005148,51922,315195,270481
1631024005158,51929,315267,270501
1631024005168,51939,315235,270460
1631024005178,51936,315214,270478
1631024005188,51930,315149,270464
1631024005198,51926,315122,270454
1631024005208,51894,315054,270397
1631024005218,51868,314935,270375
1631024005228,51836,314868,270327
1631024005238,51799,314769,270348
1631024005248,51776,314762,270291
1631024005258,51766,314749,270325
1631024005268,51752,314739,270353
1631024005278,51742,314664,270377
1631024005288,51716,314695,270364
1631024005298,51707,314676,270355
1631024005308,51701,314630,270385
1631024005318,51688,314627,270393
1631024005328,51675,314628,270403
1631024005338,51678,314667,270394
1631024005348,51659,314643,270405
1631024005358,51660,314636,270429
1631024005368,51647,314653,270457
1631024005378,51649,314713,270500
1631024005388,51646,314697,270498
1631024005398,51652,314712,270533
1631024005408,51654,314735,270585
1631024005418,51652,314768,270586
1631024005428,51659,314765,270607
1631024005438,51649,314763,270591
1631024005448,51656,314796,270609
1631024005458,51654,314814,270635
1631024005468,51656,314802,270661
1631024005478,51655,314851,270638
1631024005488,51669,314806,270699
1631024005498,51672,314896,270714
1631024005508,51672,314852,270752
1631024005518,51698,314879,270778
1631024005528,51698,314926,270812
1631024005538,51708,314941,270893
1631024005548,51719,314923,270867
1631024005558,51720,315023,270910
1631024005568,51729,314993,270947
1631024005578,51735,315033,270962
1631024005588,51745,315035,271010
1631024005598,51754,315086,271030
1631024005608,51761,315082,271044
1631024005618,51772,315126,271086
1631024005628,51783,315188,271102
1631024005638,51799,315174,271145
1631024005648,51800,315201,271197
1631024005658,51827,315194,271238
1631024005668,51823,315258,271239
1631024005678,51844,315250,271271
1631024005688,51862,315325,271319
1631024005698,51862,315364,271351
1631024005708,51878,315382,271381
1631024005718,51883,315392,271396
1631024005728,51894,315410,271401
1631024005738,51904,315423,271447
1631024005748,51923,315465,271489
1631024005758,51931,315508,271507
1631024005768,51941,315477,271513
1631024005778,51943,315489,271535
1631024005788,51950,315412,271506
1631024005798,51916,315321,271480
1631024005808,51896,315253,271436
1631024005818,51866,315176,271384
1631024005828,51835,315120,271400
1631024005838,51820,315049,271379
1631024005848,51795,315048,271410
1631024005858,51775,315004,271401
1631024005868,51754,314997,271395
1631024005878,51741,314996,271389
1631024005888,51724,314957,271406
1631024005898,51709,314938,271410
1631024005908,51702,314939,271413
1631024005918,51697,314921,271417
1631024005928,51685,314968,271385
1631024005938,51680,314920,271406
1631024005948,51665,314956,271420
1631024005958,51664,314947,271425
1631024005968,51659,314960,271414
1631024005978,51659,314900,271457
1631024005988,51670,314898,271446
1631024005998,51672,314953,271456
1631024006008,51657,314962,271496
1631024006018,51668,315002,271505
1631024006028,51668,314972,271455
1631024006038,51675,314995,271469
1631024006048,51649,315032,271467
1631024006058,51659,314992,271487
1631024006068,51667,315041,271514
1631024006078,51659,315019,271498
1631024006088,51668,315019,271498
1631024006098,51658,315036,271499
1631024006108,51660,315049,271502
1631024006118,51668,315033,271507
1631024006128,51661,315033,271498
1631024006138,51676,315054,271534
1631024006148,51681,315035,271549
1631024006158,51690,315100,271549
1631024006168,51685,315092,271545
1631024006178,51695,315108,271553
1631024006188,51685,315139,271546
1631024006198,51692,315142,271567
1631024006208,51706,315151,271577
1631024006218,51709,315156,271560
1631024006228,51709,315163,271596
1631024006238,51714,315206,271609
1631024006248,51712,315242,271602
1631024006258,51719,315240,271586
1631024006268,51733,315230,271633
1631024006278,51741,315232,271610
1631024006288,51745,315260,271626
1631024006298,51758,315313,271650
1631024006308,51756,315299,271643
1631024006318,51767,315321,271642
1631024006328,51776,315324,271658
1631024006338,51778,315346,271642
1631024006348,51785,315348,271646
1631024006358,51766,315250,271595
1631024006368,51741,315212,271576
1631024006378,51719,315137,271526
1631024006388,51683,315050,271489
1631024006398,51663,315002,271482
1631024006408,51642,314961,271461
1631024006418,51613,314889,271478
1631024006428,51598,314904,271491
1631024006438,51590,314869,271460
1631024006448,51581,314895,271483
1631024006458,51571,314864,271512
1631024006468,51566,314829,271506
1631024006478,51574,314830,271520
1631024006488,51552,314820,271527
1631024006498,51550,314831,271508
1631024006508,51543,314800,271530
1631024006518,51539,314815,271541
1631024006528,51537,314802,271517
1631024006538,51527,314844,271558
1631024006548,51527,314831,271583
1631024006558,51532,314831,271580
1631024006568,51539,314887,271579
1631024006578,51535,314869,271601
1631024006588,51552,314911,271622
1631024006598,51542,314873,271594
1631024006608,51550,314932,271642
1631024006618,51551,314931,271609
1631024006628,51544,314916,271614
1631024006638,51545,314932,271636
1631024006648,51556,314937,271652
1631024006658,51558,314932,271634
1631024006668,51555,314926,271661
1631024006678,51557,315017,271645
1631024006688,51566,314984,271684
1631024006698,51567,314992,271661
1631024006708,51572,315006,271655
1631024006718,51577,315006,271655
1631024006728,51577,315046,271684
1631024006738,51576,315011,271693
1631024006748,51589,315032,271682
1631024006758,51595,315034,271671
1631024006768,51606,315069,271676
1631024006778,51613,315055,271701
1631024006788,51622,315095,271706
1631024006798,51629,315086,271705
1631024006808,51640,315133,271687
1631024006818,51637,315134,271662
1631024006828,51630,315103,271694
1631024006838,51653,315151,271689
1631024006848,51655,315146,271688
1631024006858,51656,315178,271716
1631024006868,51666,315188,271732
1631024006878,51677,315231,271728
1631024006888,51685,315251,271742
1631024006898,51695,315274,271751
1631024006908,51695,315256,271751
1631024006918,51703,315248,271718
1631024006928,51702,315170,271645
1631024006938,51684,315161,271653
1631024006948,51678,315064,271628
1631024006958,51655,315006,271567
1631024006968,51626,314910,271552
1631024006978,51613,314920,271543
1631024006988,51590,314859,271542
1631024006998,51583,314795,271505
1631024007008,51558,314794,271512
1631024007018,51556,314770,271555
1631024007028,51547,314767,271535
1631024007038,51547,314782,271564
1631024007048,51540,314798,271568
1631024007058,51536,314773,271564
1631024007068,51528,314788,271572
1631024007078,51529,314758,271556
1631024007088,51528,314787,271609
1631024007098,51526,314741,271599
1631024007108,51531,314674,271571
1631024007118,51519,314744,271586
1631024007128,51528,314773,271602
1631024007138,51527,314792,271642
1631024007148,51524,314786,271635
1631024007158,51530,314822,271608
1631024007168,51536,314808,271597
1631024007178,51532,314800,271632
1631024007188,51535,314837,271628
1631024007198,51538,314778,271630
1631024007208,51540,314841,271626
1631024007218,51545,314871,271635
1631024007228,51548,314855,271618
1631024007238,51549,314856,271646
1631024007248,51558,314890,271649
1631024007258,51562,314882,271663
1631024007268,51571,314877,271634
1631024007278,51573,314920,271678
1631024007288,51575,314922,271655
1631024007298,51579,314993,271656
1631024007308,51592,314951,271680
1631024007318,51602,314936,271679
1631024007328,51601,314985,271705
1631024007338,51614,314960,271669
1631024007348,51610,314995,271698
1631024007358,51608,315029,271716
1631024007368,51616,315028,271679
1631024007378,51623,315070,271703
1631024007388,51631,315050,271707
1631024007398,51647,315117,271713
1631024007408,51661,315079,271739
1631024007418,51658,315084,271733
1631024007428,51665,315166,271700
1631024007438,51677,315127,271712
1631024007448,51691,315164,271708
1631024007458,51690,315175,271727
1631024007468,51715,315162,271723
1631024007478,51707,315214,271754
1631024007488,51719,315235,271752
1631024007498,51728,315239,271715
1631024007508,51723,315314,271744
1631024007518,51742,315300,271730
1631024007528,51735,315287,271732
1631024007538,51733,315244,271652
1631024007548,51717,315177,271632
1631024007558,51703,315103,271618
1631024007568,51681,315044,271565
1631024007578,51664,315007,271556
1631024007588,51645,314903,271548
1631024007598,51632,314903,271498
1631024007608,51612,314876,271515
1631024007618,51605,314898,271507
1631024007628,51596,314878,271507
1631024007638,51596,314818,271503
1631024007648,51587,314821,271507
1631024007658,51586,314911,271549
1631024007668,51586,314873,271519
1631024007678,51583,314869,271542
1631024007688,51579,314841,271508
1631024007698,51572,314827,271541
1631024007708,51566,314836,271515
1631024007718,51565,314791,271525
1631024007728,51566,314854,271535
1631024007738,51572,314839,271528
1631024007748,51569,314854,271562
1631024007758,51589,314884,271556
1631024007768,51589,314875,271552
1631024007778,51601,314921,271550
1631024007788,51591,314887,271577
1631024007798,51611,314903,271603
1631024007808,51607,314889,271559
1631024007818,51621,314899,271603
1631024007828,51626,314916,271582
1631024007838,51634,314949,271580
1631024007848,51626,314940,271587
1631024007858,51627,314944,271557
1631024007868,51633,314945,271583
1631024007878,51641,314939,271592
1631024007888,51650,314945,271586
1631024007898,51658,314995,271607
1631024007908,51659,314991,271626
1631024007918,51679,315033,271617
1631024007928,51687,315063,271628
1631024007938,51683,315069,271638
1631024007948,51689,315062,271619
1631024007958,51705,315067,271611
1631024007968,51706,315112,271653
1631024007978,51714,315077,271643
1631024007988,51719,315103,271621
1631024007998,51720,315134,271651
1631024008008,51735,315205,271669
1631024008018,51739,315184,271670
1631024008028,51745,315139,271622
1631024008038,51755,315207,271637
1631024008048,51763,315213,271643
1631024008058,51770,315235,271650
1631024008068,51773,315252,271656
1631024008078,51796,315316,271679
1631024008088,51803,315306,271667
1631024008098,51814,315313,271696
1631024008108,51830,315355,271710
1631024008118,51831,315343,271738
1631024008128,51836,315365,271691
1631024008138,51848,315354,271712
1631024008148,51845,315387,271700
1631024008158,51854,315397,271709
1631024008168,51852,315373,271628
1631024008178,51843,315328,271616
1631024008188,51838,315286,271597
1631024008198,51826,315183,271563
1631024008208,51815,315114,271486
1631024008218,51797,315067,271502
1631024008228,51781,314984,271492
1631024008238,51777,315041,271478
1631024008248,51762,314950,271499
1631024008258,51769,315011,271512
1631024008268,51755,314945,271478
1631024008278,51754,314954,271463
1631024008288,51757,314939,271482
1631024008298,51749,314923,271510
1631024008308,51756,314929,271501
1631024008318,51753,314941,271508
1631024008328,51749,314915,271518
1631024008338,51756,314971,271539
1631024008348,51755,314977,271530
1631024008358,51753,314967,271541
1631024008368,51759,314957,271555
1631024008378,51760,314976,271554
1631024008388,51764,314949,271546
1631024008398,51774,314980,271556
1631024008408,51787,314998,271557
1631024008418,51782,314986,271558
1631024008428,51789,315011,271534
1631024008438,51799,315054,271574
1631024008448,51799,315061,271560
1631024008458,51798,315049,271587
1631024008468,51809,315053,271582
1631024008478,51803,315041,271613
1631024008488,51811,315042,271601
1631024008498,51813,315031,271570
1631024008508,51828,315050,271589
1631024008518,51826,315072,271594
1631024008528,51824,315101,271616
1631024008538,51820,315039,271584
1631024008548,51829,315087,271590
1631024008558,51835,315076,271598
1631024008568,51855,315073,271611
1631024008578,51844,315110,271584
1631024008588,51863,315104,271588
