utcTime,eventMarker
1631106753964.0,start_experiment
1631106796167.516,start_baseline
1631106976167.516,end_baseline
1631106994039.634,submit_survey
1631107003366.4473,start_crt
1631107078913.801,start_nback
1631107199533.752,start_activity
1631107380414.2039,end_activity
1631107411350.507,submit_survey
1631107413066.6501,start_crt
1631107482345.531,start_nback
1631107599378.735,start_fatigue
1631107931498.198,end_fatigue
1631107950369.7898,submit_survey
1631107955013.64,start_crt
1631108021793.579,start_nback
1631108071815.058,end_session
