timestamp,battery_voltage,battery_level,device_temperature,bluetooth_link_quality,bluetooth_rssi,bluetooth_tx_power,worn_confidence,is_button_press,is_not_fitted_to_garment
1631192845454,4.169,94,27.1,150,-12,12,00,0,0
1631192846454,4.169,94,27.1,170,-18,12,00,0,0
1631192847454,4.169,94,27.1,175,0,12,00,0,0
1631192848454,4.169,94,27.1,155,0,12,00,0,0
1631192849454,4.169,94,27.1,254,-1,12,00,0,0
1631192850454,4.169,94,27.1,254,-4,12,00,0,0
1631192851454,4.169,94,27.1,215,-3,12,00,0,0
1631192852454,4.169,94,27.1,115,-5,12,00,0,0
1631192853454,4.169,94,27.1,254,-4,12,00,0,0
1631192854454,4.169,94,27.1,254,-5,12,00,0,0
1631192855454,4.169,94,27.1,254,0,12,00,0,0
1631192856454,4.168,94,27.1,254,-6,12,00,0,0
1631192857454,4.168,94,27.2,110,-2,12,00,0,0
1631192858454,4.168,94,27.2,254,0,12,00,0,0
1631192859454,4.168,94,27.2,235,-1,12,00,0,0
1631192860454,4.168,94,27.3,175,-3,12,00,0,0
1631192861454,4.168,94,27.3,254,0,12,00,0,0
1631192862454,4.168,94,27.3,235,0,12,00,0,0
1631192863454,4.168,94,27.3,235,0,12,00,0,0
1631192864454,4.168,94,27.3,235,-3,12,00,0,0
1631192865454,4.168,94,27.3,254,0,12,00,0,0
1631192866454,4.168,94,27.3,235,0,12,00,0,0
1631192867454,4.168,94,27.3,254,-4,12,00,0,0
1631192868454,4.168,94,27.3,254,-5,12,00,0,0
1631192869454,4.168,94,27.3,254,0,12,00,0,0
1631192870454,4.168,94,27.3,254,-2,12,00,0,0
1631192871454,4.168,94,27.4,254,-3,12,00,0,0
1631192872454,4.168,94,27.4,195,-5,12,00,0,0
1631192873454,4.168,94,27.4,254,-3,12,00,0,0
1631192874454,4.168,94,27.4,254,0,12,00,0,0
1631192875454,4.168,94,27.4,254,-4,12,00,0,0
1631192876454,4.168,94,27.4,235,-8,12,00,0,0
1631192877454,4.168,94,27.4,215,0,12,00,0,0
1631192878454,4.168,94,27.4,235,0,12,00,0,0
1631192879454,4.168,94,27.4,215,0,12,00,0,0
1631192880454,4.168,94,27.4,195,0,12,00,0,0
1631192881454,4.168,94,27.4,254,-2,12,00,0,0
1631192882454,4.168,94,27.4,254,0,12,00,0,0
1631192883454,4.168,94,27.4,254,0,12,00,0,0
1631192884454,4.168,94,27.4,254,0,12,00,0,0
1631192885454,4.168,94,27.5,35,0,12,00,0,0
1631192886454,4.168,94,27.5,155,0,12,00,0,0
1631192887454,4.168,94,27.5,254,0,12,00,0,0
1631192888454,4.168,94,27.5,195,0,12,00,0,0
1631192889454,4.168,94,27.5,254,-3,12,00,0,0
1631192890454,4.168,94,27.5,215,0,12,00,0,0
1631192891454,4.168,94,27.6,254,0,12,00,0,0
1631192892454,4.168,94,27.6,254,0,12,00,0,0
1631192893454,4.168,94,27.6,254,-2,12,00,0,0
1631192894454,4.168,94,27.6,215,0,12,00,0,0
1631192895454,4.168,94,27.6,254,-16,12,00,0,0
1631192896454,4.168,94,27.6,254,-7,12,00,0,0
1631192897454,4.168,94,27.6,254,0,12,00,0,0
1631192898454,4.168,94,27.6,235,0,12,00,0,0
1631192899454,4.168,94,27.6,254,0,12,00,0,0
1631192900454,4.168,94,27.7,254,0,12,00,0,0
1631192901454,4.168,94,27.7,215,-2,12,00,0,0
1631192902454,4.168,94,27.7,254,-8,12,00,0,0
1631192903454,4.168,94,27.7,190,0,12,00,0,0
1631192904454,4.168,94,27.8,215,-4,12,00,0,0
1631192905454,4.168,94,27.8,150,-2,12,00,0,0
1631192906454,4.168,94,27.8,254,-5,12,00,0,0
1631192907454,4.168,94,27.8,254,0,12,00,0,0
1631192908454,4.168,94,27.8,235,-7,12,00,0,0
1631192909454,4.168,94,27.8,254,-10,12,00,0,0
1631192910454,4.168,94,27.8,75,0,12,00,0,0
1631192911454,4.168,94,27.9,254,0,12,00,0,0
1631192912454,4.168,94,27.9,254,-5,12,00,0,0
1631192913454,4.168,94,27.9,215,0,12,00,0,0
1631192914454,4.168,94,27.9,215,0,12,00,0,0
1631192915454,4.168,94,28.0,254,-7,12,00,0,0
1631192916454,4.168,94,28.0,254,0,12,00,0,0
1631192917454,4.168,94,28.0,215,-5,12,00,0,0
1631192918454,4.168,94,28.0,254,0,12,00,0,0
1631192919454,4.168,94,28.0,235,-8,12,00,0,0
1631192920454,4.168,94,28.0,90,-6,12,00,0,0
1631192921454,4.168,94,28.0,254,-20,12,00,0,0
1631192922454,4.168,94,28.0,190,0,12,00,0,0
1631192923454,4.168,94,28.0,135,-11,12,00,0,0
1631192924454,4.168,94,28.1,115,-7,12,00,0,0
1631192925454,4.168,94,28.1,254,-14,12,00,0,0
1631192926454,4.168,94,28.1,254,-15,12,00,0,0
1631192927454,4.168,94,28.1,0,-1,12,00,0,0
1631192928454,4.168,94,28.1,190,-12,12,00,0,0
1631192929454,4.168,94,28.1,150,-23,12,00,0,0
1631192930454,4.168,94,28.1,254,-17,12,00,0,0
1631192931454,4.168,94,28.1,254,0,12,00,0,0
1631192932454,4.168,94,28.1,70,-5,12,00,0,0
1631192933454,4.168,94,28.1,254,0,12,00,0,0
1631192934454,4.168,94,28.1,190,-6,12,00,0,0
1631192935454,4.168,94,28.1,254,-10,12,00,0,0
1631192936454,4.168,94,28.1,235,0,12,00,0,0
1631192937454,4.168,94,28.1,110,-10,12,00,0,0
1631192938454,4.168,94,28.1,175,-5,12,00,0,0
1631192939454,4.168,94,28.1,254,-1,12,00,0,0
1631192940454,4.168,94,28.1,254,-6,12,00,0,0
1631192941454,4.168,94,28.1,254,-9,12,00,0,0
1631192942454,4.168,94,28.2,254,-1,12,00,0,0
1631192943454,4.168,94,28.2,254,0,12,00,0,0
1631192944454,4.168,94,28.2,254,-1,12,00,0,0
1631192945454,4.168,94,28.2,235,-1,12,00,0,0
1631192946454,4.168,94,28.2,235,-2,12,00,0,0
1631192947454,4.168,94,28.2,254,-2,12,00,0,0
1631192948454,4.168,94,28.2,195,-10,12,00,0,0
1631192949454,4.168,94,28.3,235,-6,12,00,0,0
1631192950454,4.168,94,28.3,254,0,12,00,0,0
1631192951454,4.168,94,28.3,254,0,12,00,0,0
1631192952454,4.168,94,28.3,175,0,12,00,0,0
1631192953454,4.168,94,28.3,254,0,12,00,0,0
1631192954454,4.167,94,28.3,254,-5,12,00,0,0
1631192955454,4.167,94,28.4,254,-14,12,00,0,0
1631192956454,4.167,94,28.4,254,-6,12,00,0,0
1631192957454,4.167,94,28.4,150,-4,12,00,0,0
1631192958454,4.167,94,28.4,254,-12,12,00,0,0
1631192959454,4.167,94,28.4,254,-8,12,00,0,0
1631192960454,4.167,94,28.4,235,-8,12,00,0,0
1631192961454,4.167,94,28.4,254,0,12,00,0,0
1631192962454,4.167,94,28.5,254,-7,12,00,0,0
1631192963454,4.167,94,28.5,235,0,12,00,0,0
1631192964454,4.167,94,28.5,254,-7,12,00,0,0
1631192965454,4.167,94,28.5,155,0,12,00,0,0
