timestamp,TP9,AF7,AF8,TP10
1631204135312,1.0,1.0,1.0,1.0
1631204135406,1.0,1.0,1.0,1.0
1631204135500,1.0,1.0,1.0,1.0
1631204135593,1.0,1.0,1.0,1.0
1631204135687,1.0,1.0,1.0,1.0
1631204135828,1.0,1.0,1.0,1.0
1631204135922,1.0,1.0,1.0,1.0
1631204136000,1.0,1.0,1.0,1.0
1631204136125,1.0,1.0,1.0,1.0
1631204136219,1.0,1.0,1.0,1.0
1631204136281,1.0,1.0,1.0,1.0
1631204136406,1.0,1.0,1.0,1.0
1631204136518,1.0,1.0,1.0,1.0
1631204136612,1.0,1.0,1.0,1.0
1631204136721,1.0,1.0,1.0,1.0
1631204136799,1.0,1.0,1.0,1.0
1631204136908,1.0,1.0,1.0,1.0
1631204137033,1.0,1.0,1.0,1.0
1631204137127,1.0,1.0,1.0,1.0
1631204137205,1.0,1.0,1.0,1.0
1631204137315,1.0,1.0,1.0,1.0
1631204137393,1.0,1.0,1.0,1.0
1631204137502,1.0,1.0,1.0,1.0
1631204137643,1.0,1.0,1.0,1.0
1631204137736,1.0,1.0,1.0,1.0
1631204137814,1.0,1.0,1.0,1.0
1631204137908,1.0,1.0,1.0,1.0
1631204138017,1.0,1.0,1.0,1.0
1631204138127,1.0,1.0,1.0,1.0
1631204138299,1.0,1.0,1.0,1.0
1631204138346,1.0,1.0,1.0,1.0
1631204138439,1.0,1.0,1.0,1.0
1631204138533,1.0,1.0,1.0,1.0
1631204138611,1.0,1.0,1.0,1.0
1631204138739,1.0,1.0,1.0,1.0
1631204138848,1.0,1.0,1.0,1.0
1631204138957,1.0,1.0,1.0,1.0
1631204139067,1.0,1.0,1.0,1.0
1631204139160,1.0,1.0,1.0,1.0
1631204139254,1.0,1.0,1.0,1.0
1631204139332,1.0,1.0,1.0,1.0
1631204139473,1.0,1.0,1.0,1.0
1631204139598,1.0,1.0,1.0,1.0
1631204139676,1.0,1.0,1.0,1.0
1631204139738,1.0,1.0,1.0,1.0
1631204139832,1.0,1.0,1.0,1.0
1631204139957,1.0,1.0,1.0,1.0
1631204140082,1.0,1.0,1.0,1.0
1631204140160,1.0,1.0,1.0,1.0
1631204140285,1.0,1.0,1.0,1.0
1631204140363,1.0,1.0,1.0,1.0
1631204140457,1.0,1.0,1.0,1.0
1631204140551,1.0,1.0,1.0,1.0
1631204140692,1.0,1.0,1.0,1.0
1631204140769,1.0,1.0,1.0,1.0
1631204140894,1.0,1.0,1.0,1.0
1631204140972,1.0,1.0,1.0,1.0
1631204141066,1.0,1.0,1.0,1.0
1631204141160,1.0,1.0,1.0,1.0
1631204141301,1.0,1.0,1.0,1.0
1631204141426,1.0,1.0,1.0,1.0
1631204141488,1.0,1.0,1.0,1.0
1631204141597,1.0,1.0,1.0,1.0
1631204141675,1.0,1.0,1.0,1.0
1631204141786,1.0,1.0,1.0,1.0
1631204141900,1.0,1.0,1.0,1.0
1631204141994,1.0,1.0,1.0,1.0
1631204142088,1.0,1.0,1.0,1.0
1631204142197,1.0,1.0,1.0,1.0
1631204142276,1.0,1.0,1.0,1.0
1631204142400,1.0,1.0,1.0,1.0
1631204142525,1.0,1.0,1.0,1.0
1631204142650,1.0,1.0,1.0,1.0
1631204142744,1.0,1.0,1.0,1.0
1631204142826,1.0,1.0,1.0,1.0
1631204142888,1.0,1.0,1.0,1.0
1631204142982,1.0,1.0,1.0,1.0
1631204143123,1.0,1.0,1.0,1.0
1631204143232,1.0,1.0,1.0,1.0
1631204143341,1.0,1.0,1.0,1.0
1631204143419,1.0,1.0,1.0,1.0
1631204143498,1.0,1.0,1.0,1.0
1631204143607,1.0,1.0,1.0,1.0
